,Cycle number,Profile number,Phase number,1st sample date,Pressure (dbar),Temperature (°C),Salinity (PSU)
0,1,0,5,2021-11-16 13:46:31,0.5,14.533,0.011
1,1,0,9,2021-11-16 22:07:03,1.5,14.052,0.011
2,1,0,9,2021-11-16 22:07:03,2.5,13.976,0.011
3,1,0,9,2021-11-16 22:07:03,3.5,13.962,0.011
4,1,0,9,2021-11-16 22:07:03,4.5,13.955,0.011
5,1,0,9,2021-11-16 22:07:03,5.4,13.953,0.011
21,1,0,9,2021-11-16 22:07:03,5.4,14.043,0.021
22,1,1,5,2021-11-16 22:47:50,4.5,14.05,0.021
23,1,1,5,2021-11-16 22:47:50,3.5,14.044,0.021
24,1,1,5,2021-11-16 22:47:50,2.6,14.036,0.021
25,1,1,5,2021-11-16 22:47:50,1.5,14.025,0.02
26,1,1,5,2021-11-16 22:47:50,0.6,14.003,0.02
42,1,1,5,2021-11-16 22:47:50,0.5,13.735,0.014
43,1,1,9,2021-11-17 01:06:49,1.5,13.808,0.013
44,1,1,9,2021-11-17 01:06:49,2.5,13.82,0.013
45,1,1,9,2021-11-17 01:06:49,3.5,13.833,0.013
46,1,1,9,2021-11-17 01:06:49,4.5,13.852,0.013
47,1,1,9,2021-11-17 01:06:49,5.4,13.869,0.013
63,1,1,9,2021-11-17 01:06:49,5.4,14.023,0.028
64,1,2,9,2021-11-17 04:06:22,4.5,14.032,0.028
65,1,2,9,2021-11-17 04:06:22,3.5,14.026,0.028
66,1,2,9,2021-11-17 04:06:22,2.5,14.015,0.028
67,1,2,9,2021-11-17 04:06:22,1.5,14.003,0.028
68,1,2,9,2021-11-17 04:06:22,0.5,13.985,0.028
85,1,2,9,2021-11-17 04:06:22,0.5,13.687,0.028
86,1,2,9,2021-11-17 04:06:22,1.5,13.737,0.028
87,1,2,9,2021-11-17 04:06:22,2.5,13.753,0.028
88,1,2,9,2021-11-17 04:06:22,3.5,13.777,0.028
89,1,2,9,2021-11-17 04:06:22,4.5,13.804,0.028
90,1,2,9,2021-11-17 04:06:22,5.3,13.829,0.028
105,1,2,9,2021-11-17 04:06:22,5.4,13.992,0.034
106,1,3,5,2021-11-17 04:41:12,4.6,14.003,0.034
107,1,3,5,2021-11-17 04:41:12,3.5,13.996,0.034
108,1,3,5,2021-11-17 04:41:12,2.5,13.985,0.034
109,1,3,5,2021-11-17 04:41:12,1.4,13.971,0.034
110,1,3,5,2021-11-17 04:41:12,0.5,13.953,0.034
126,1,3,5,2021-11-17 04:41:12,0.5,13.38,0.034
127,1,3,9,2021-11-17 07:06:21,1.5,13.662,0.034
128,1,3,9,2021-11-17 07:06:21,2.5,13.684,0.034
129,1,3,9,2021-11-17 07:06:21,3.5,13.716,0.034
130,1,3,9,2021-11-17 07:06:21,4.5,13.748,0.034
131,1,3,9,2021-11-17 07:06:21,5.4,13.777,0.034
147,1,3,9,2021-11-17 07:06:21,5.3,13.972,0.04
148,1,0,5,2022-06-23 18:38:10,4.5,13.975,0.04
149,1,0,5,2022-06-23 18:38:10,3.5,13.968,0.04
150,1,0,5,2022-06-23 18:38:10,2.5,13.957,0.04
151,1,0,5,2022-06-23 18:38:10,1.5,13.943,0.037
152,1,0,5,2022-06-23 18:38:10,0.5,13.916,0.029
168,1,0,5,2022-06-23 18:38:10,0.5,18.636,14.717
169,1,0,9,2022-06-23 19:46:32,1.5,18.212,26.994
170,1,0,9,2022-06-23 19:46:32,2.5,17.374,27.358
171,1,0,9,2022-06-23 19:46:32,3.5,15.936,27.636
172,1,0,9,2022-06-23 19:46:32,4.5,15.593,27.544
173,1,0,9,2022-06-23 19:46:32,5.5,15.329,27.669
174,1,0,9,2022-06-23 19:46:32,6.4,15.126,27.813
175,1,0,9,2022-06-23 19:46:32,7.4,14.947,27.903
176,1,0,9,2022-06-23 19:46:32,8.4,14.719,28.011
177,1,0,9,2022-06-23 19:46:32,9.4,14.535,28.114
178,1,0,9,2022-06-23 19:46:32,10.2,14.399,28.189
189,1,0,9,2022-06-23 19:46:32,32.5,3.998,30.865
190,1,0,9,2022-06-23 20:12:24,30.9,4.146,30.838
191,1,0,9,2022-06-23 20:12:24,29.0,4.411,30.802
192,1,0,9,2022-06-23 20:12:24,27.0,4.74,30.759
193,1,0,9,2022-06-23 20:12:24,24.9,5.125,30.696
194,1,0,9,2022-06-23 20:12:24,23.1,5.345,30.677
195,1,0,9,2022-06-23 20:12:24,21.0,5.771,30.617
196,1,0,9,2022-06-23 20:12:24,19.0,6.32,30.51
197,1,0,9,2022-06-23 20:12:24,17.0,6.735,30.432
198,1,0,9,2022-06-23 20:12:24,15.1,7.413,30.295
199,1,0,9,2022-06-23 20:12:24,12.9,8.163,30.136
200,1,0,9,2022-06-23 20:12:24,11.0,9.023,29.951
201,1,0,9,2022-06-23 20:12:24,9.4,9.899,29.778
202,1,0,9,2022-06-23 20:12:24,8.4,10.36,29.659
203,1,0,9,2022-06-23 20:12:24,7.5,10.879,29.577
204,1,0,9,2022-06-23 20:12:24,6.5,11.523,29.438
205,1,0,9,2022-06-23 20:12:24,5.5,11.916,29.352
206,1,0,9,2022-06-23 20:12:24,4.5,12.331,29.113
207,1,0,9,2022-06-23 20:12:24,3.5,12.736,28.63
208,1,0,9,2022-06-23 20:12:24,2.5,13.475,28.425
209,1,0,9,2022-06-23 20:12:24,1.5,15.749,27.581
210,1,0,9,2022-06-23 20:12:24,0.5,17.904,28.721
232,1,1,9,2022-06-25 01:14:18,0.5,17.29,23.418
233,1,1,9,2022-06-25 01:14:18,1.6,17.182,27.857
234,1,1,9,2022-06-25 01:14:18,2.5,17.121,28.116
235,1,1,9,2022-06-25 01:14:18,3.4,16.938,28.337
236,1,1,9,2022-06-25 01:14:18,4.5,15.958,29.054
237,1,1,9,2022-06-25 01:14:18,5.5,14.433,30.11
238,1,1,9,2022-06-25 01:14:18,6.5,13.86,30.485
239,1,1,9,2022-06-25 01:14:18,7.5,13.201,30.903
240,1,1,9,2022-06-25 01:14:18,8.6,12.605,31.273
241,1,1,9,2022-06-25 01:14:18,9.6,11.889,31.747
242,1,1,9,2022-06-25 01:14:18,10.2,11.419,32.025
252,1,1,9,2022-06-25 01:14:18,32.4,4.116,30.842
253,1,1,9,2022-06-25 01:53:27,31.0,4.134,30.84
254,1,1,9,2022-06-25 01:53:27,29.0,4.27,30.821
255,1,1,9,2022-06-25 01:53:27,27.0,4.401,30.8
256,1,1,9,2022-06-25 01:53:27,25.0,4.522,30.789
257,1,1,9,2022-06-25 01:53:27,23.1,4.894,30.749
