,Cycle number,Profile number,Phase number,1st sample date,Pressure (dbar),Channel 1 a (Count),Channel 2 (Count)
0,1,0,5,2021-11-16 14:14:17,1.0,1155.0,4130.0
1,1,0,5,2021-11-16 14:15:14,1.1,1178.0,4130.0
2,1,0,5,2021-11-16 14:15:14,1.1,1188.0,4130.0
3,1,0,5,2021-11-16 14:15:14,1.2,1165.0,4130.0
4,1,0,5,2021-11-16 14:15:14,1.2,1152.0,4130.0
5,1,0,5,2021-11-16 14:15:14,1.2,1150.0,4130.0
6,1,0,5,2021-11-16 14:15:14,1.2,1175.0,4130.0
7,1,0,5,2021-11-16 14:15:14,1.2,1206.0,4130.0
8,1,0,5,2021-11-16 14:15:14,1.2,1213.0,4130.0
9,1,0,5,2021-11-16 14:15:14,1.2,1214.0,4130.0
10,1,0,5,2021-11-16 14:15:14,1.2,1214.0,4130.0
11,1,0,5,2021-11-16 14:15:14,1.2,1213.0,4130.0
12,1,0,5,2021-11-16 14:15:14,1.2,1213.0,4130.0
13,1,0,5,2021-11-16 14:15:14,1.2,1213.0,4130.0
14,1,0,5,2021-11-16 14:15:14,1.2,1213.0,4130.0
15,1,0,5,2021-11-16 14:15:14,1.2,1212.0,4130.0
16,1,0,5,2021-11-16 14:15:14,1.2,1213.0,4130.0
17,1,0,5,2021-11-16 14:15:14,1.2,1212.0,4130.0
18,1,0,5,2021-11-16 14:15:14,1.2,1212.0,4130.0
19,1,0,5,2021-11-16 14:15:14,1.2,1213.0,4130.0
20,1,0,5,2021-11-16 14:15:14,1.2,1213.0,4130.0
21,1,0,5,2021-11-16 14:15:14,1.2,1212.0,4130.0
22,1,0,5,2021-11-16 14:16:01,1.2,1213.0,4130.0
23,1,0,5,2021-11-16 14:16:01,1.2,1213.0,4130.0
24,1,0,5,2021-11-16 14:16:01,1.2,1212.0,4130.0
25,1,0,5,2021-11-16 14:16:01,1.2,1213.0,4130.0
26,1,0,5,2021-11-16 14:16:01,1.2,1213.0,4130.0
27,1,0,5,2021-11-16 14:16:01,1.2,1212.0,4130.0
28,1,0,5,2021-11-16 14:16:01,1.2,1212.0,4130.0
29,1,0,5,2021-11-16 14:16:01,1.2,1212.0,4130.0
30,1,0,5,2021-11-16 14:16:01,1.2,1212.0,4130.0
31,1,0,5,2021-11-16 14:16:01,1.2,1212.0,4130.0
32,1,0,5,2021-11-16 14:16:01,1.2,1213.0,4130.0
33,1,0,5,2021-11-16 14:16:01,1.2,1213.0,4130.0
34,1,0,5,2021-11-16 14:16:01,1.2,1212.0,4130.0
35,1,0,5,2021-11-16 14:16:01,1.2,1211.0,4130.0
36,1,0,5,2021-11-16 14:16:01,1.2,1211.0,4130.0
37,1,0,5,2021-11-16 14:16:01,1.2,1212.0,4130.0
38,1,0,5,2021-11-16 14:16:01,1.2,1213.0,4130.0
39,1,0,5,2021-11-16 14:16:01,1.2,1213.0,4130.0
40,1,0,5,2021-11-16 14:16:01,1.2,1212.0,4130.0
41,1,0,5,2021-11-16 14:16:01,1.2,1213.0,4130.0
42,1,0,5,2021-11-16 14:16:01,1.2,1212.0,4130.0
43,1,0,5,2021-11-16 14:16:49,1.2,1213.0,4130.0
44,1,0,5,2021-11-16 14:16:49,1.2,1212.0,4130.0
45,1,0,5,2021-11-16 14:16:49,1.2,1212.0,4130.0
46,1,0,5,2021-11-16 14:16:49,1.2,1212.0,4130.0
47,1,0,5,2021-11-16 14:16:49,1.2,1213.0,4130.0
48,1,0,5,2021-11-16 14:16:49,1.2,1212.0,4130.0
49,1,0,5,2021-11-16 14:16:49,1.2,1211.0,4130.0
50,1,0,5,2021-11-16 14:16:49,1.2,1211.0,4130.0
51,1,0,5,2021-11-16 14:16:49,1.2,1212.0,4130.0
52,1,0,5,2021-11-16 14:16:49,1.2,1213.0,4130.0
53,1,0,5,2021-11-16 14:16:49,1.2,1212.0,4130.0
54,1,0,5,2021-11-16 14:16:49,1.2,1212.0,4130.0
55,1,0,5,2021-11-16 14:16:49,1.2,1213.0,4130.0
56,1,0,5,2021-11-16 14:16:49,1.2,1212.0,4130.0
57,1,0,5,2021-11-16 14:16:49,1.2,1212.0,4130.0
