,Cycle number,Profile number,Phase number,1st sample date,Pressure (dbar),C1 phase (°),C2 phase (°),Temperature (°C)
210,1,0,5,2022-06-23 23:09:14,0.1,37.12,7.093,20.007
211,1,0,5,2022-06-23 23:12:34,0.1,37.125,7.091,20.004
212,1,0,5,2022-06-23 23:12:34,0.1,37.125,7.093,19.992
213,1,0,5,2022-06-23 23:12:34,0.1,37.13,7.092,19.987
214,1,0,5,2022-06-23 23:12:34,0.1,37.13,7.091,19.981
215,1,0,5,2022-06-23 23:12:34,0.1,37.134,7.091,19.984
216,1,0,5,2022-06-23 23:12:34,0.1,37.137,7.09,19.968
217,1,0,5,2022-06-23 23:12:34,0.1,37.138,7.09,19.962
218,1,0,5,2022-06-23 23:12:34,0.1,37.14,7.089,19.954
219,1,0,5,2022-06-23 23:12:34,0.1,37.139,7.087,19.945
220,1,0,5,2022-06-23 23:12:34,0.1,37.139,7.088,19.938
221,1,0,5,2022-06-23 23:15:54,0.1,37.144,7.088,19.929
222,1,0,5,2022-06-23 23:15:54,0.1,37.143,7.087,19.915
223,1,0,5,2022-06-23 23:15:54,0.1,37.144,7.087,19.902
224,1,0,5,2022-06-23 23:15:54,0.1,37.146,7.087,19.898
225,1,0,5,2022-06-23 23:15:54,0.1,37.153,7.088,19.888
226,1,0,5,2022-06-23 23:15:54,0.1,37.152,7.085,19.873
227,1,0,5,2022-06-23 23:15:54,0.1,37.152,7.086,19.858
228,1,0,5,2022-06-23 23:15:54,0.1,37.16,7.085,19.849
229,1,0,5,2022-06-23 23:15:54,0.1,37.161,7.086,19.843
230,1,0,5,2022-06-23 23:15:54,0.1,37.164,7.085,19.825
231,1,0,5,2022-06-23 23:19:14,0.1,37.167,7.084,19.812
232,1,0,5,2022-06-23 23:19:14,0.1,37.171,7.084,19.795
233,1,0,5,2022-06-23 23:19:14,0.2,37.171,7.081,19.772
234,1,0,5,2022-06-23 23:19:14,0.1,37.171,7.082,19.758
235,1,0,5,2022-06-23 23:19:14,0.2,37.179,7.084,19.743
