Header;0
"-----GENERAL INFORMATION-----";
"Cycle number";22
"Session number";0
"Firmware checksum";0xA847
"Float serial number";23001
"-----EMERGENCE REDUCTION-----";
Day;26
Month;12
Year;23
"Cycle day (day)";206
"Cycle hour (h)";10.4833
"Fix volume (second)";336
"Number of valve actions at the surface";14
"Grounding flag";0
"-----PARKING DEPTH DESCENT-----";
"Descent start time (h)";10.9
"Float stabilisation time (h)";12.9
"End of descent time (h)";20.85
"Number of valve actions in descent";7
"Number of pump actions in descent";0
"Float stabilisation pressure (dbar)";305
"Max pressure during descent to parking depth (dbar)";1015
"-----PARKING DRIFT PHASE-----";
"Cycle day (day)";26
"Number of entrance in drift target range (descent)";1
"Number of repositions";0
"Minimum pressure in drift to parking depth (dbar)";1009
"Maximum pressure in drift to parking depth (dbar)";1028
"Number of valve actions in parking";0
"Number of pump actions in parking";0
"-----DESCENT TO PROFILE DEPTH-----";
"descent start time (h)";21.7167
"End of descent time (h)";7.25
"Number of valve actions in descent";7
"Number of pump actions in descent";0
"Max pressure in descent to profile (dbar)";2023
"-----DRIFT TO PROFILE PHASE-----";
"Number of entrance in drift target range";1
"Number of re-positioning in profile stand-by";0
"Number of valve actions in drift to Profile";0
"Number of pump actions in drift to Profile";0
"Minimum pressure in drift to Profile (dbar)";2023
"Maximum pressure in drift to Profile (dbar)";2026
"-----ASCENT PHASE-----";
"Ascent start time (h)";8.73333
"Time at end of ascent (h)";15.2333
"Number of pump actions in ascent";11
"-----GENERAL INFORMATIONS-----";
"Float time : Hour";15
"Float time : Minute";16
"Float time : Second";11
"Float time : Day";5
"Float time : Month";1
"Float time : Year";24
"Pressure sensor offset (cbar)";0
"Internal pressure (mbar)";585
"Batteries voltage at Pmax (V)";9.6
"RTC state indicator (normal=0 failure=1)";0
"Coherence problem counter";0
"Dissolved oxygen sensor state (0=Ok 1=Pb 2=None)";2
"-----GPS DATA-----";
"GPS latitude (°)";57
"GPS latitude (minutes)";53
"GPS latitude (minutes fractions (4th))";2660
"GPS latitude orientation (0=North 1=South)";0
"GPS longitude (°)";53
"GPS longitude (minutes)";45
"GPS longitude (minutes fractions (4th))";1597
"GPS longitude orientation (0=East 1=West)";1
"GPS valid fix (1=valid 0=not valid)";1
"Session duration (second)";38
""
"Pumping delay for GPS emergence (s)";0
"Antenna status (0=DontKnow 1=Ok 2=Short 3=Open)";1
"-----END OF LIFE-----";
"End of life flag";0
Hour;0
Minute;0
Second;0
Day;0
Month;0
Year;0
-----SYSTEM-----;
"System calendar retiming (Old - New)(Usable only on GPS valid fix) (second)";-21
""
