COUNTRY,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,IMEI,LAST LOCATION DATE,MODEL,NETWORKS,PROGRAM,REF,SENSOR MODELS,SERIAL NUMBER,STATUS
Canada,2018-05-10T09:22:00,57.9999,-51.0602,300234065151730,2021-03-17T05:24:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902438,SBE41CP,AI2600-18CA001,OPERATIONAL
Canada,2018-05-02T19:49:00,54.2183,-49.7826,300234065155560,2021-03-09T05:18:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902439,SBE41CP,AI2600-18CA002,OPERATIONAL
Canada,2019-02-10T14:50:00,49.634,-139.6897,300234065860340,2021-03-13T05:39:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902443,SBE41CP,AI2600-18CA006,OPERATIONAL
Canada,2019-02-07T15:34:00,48.777,-128.1843,300234065965570,2021-03-10T05:33:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902444,SBE41CP,AI2600-18CA007,OPERATIONAL
Canada,2018-06-14T02:58:00,49.9985,-144.999,300234065961050,2021-03-12T05:34:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902445,SBE41CP,AI2600-18CA008,OPERATIONAL
Canada,2019-02-12T18:34:00,50.0022,-144.9965,300234065969150,2021-03-15T05:33:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902446,SBE41CP,AI2600-18CA009,OPERATIONAL
Canada,2018-06-11T12:26:00,49.435,-136.6782,300234065961150,2021-03-09T05:38:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902447,SBE41CP,AI2600-18CA010,OPERATIONAL
Canada,2018-09-25T16:46:00,42.2114,-61.1953,300234065150660,2021-03-15T05:26:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902440,SBE41CP,AI2600-18CA003,OPERATIONAL
Canada,2018-09-28T05:58:00,43.4798,-57.5328,300234065151560,2021-03-08T05:11:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902441,SBE41CP,AI2600-18CA004,OPERATIONAL
Canada,2018-10-04T06:20:00,43.0198,-55.8404,300234065867330,2021-03-14T05:08:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902442,SBE41CP,AI2600-18CA005,OPERATIONAL
Canada,2019-04-21T22:48:00,43.4756,-57.5268,300234067205890,2021-03-13T04:13:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902467,SBE41CP,AI2600-18CA011,OPERATIONAL
Canada,2019-06-12T03:53:00,56.1077,-53.1204,300234067202930,2021-03-15T04:29:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902468,SBE41CP,AI2600-18CA012,OPERATIONAL
Canada,2019-06-13T21:55:00,57.8077,-51.3965,300234067206910,2021-03-16T04:26:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902469,SBE41CP,AI2600-18CA013,OPERATIONAL
Canada,2019-04-21T22:41:00,43.4738,-57.5267,300234067203290,2021-03-13T04:27:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902470,SBE41CP,AI2600-18CA014,OPERATIONAL
Canada,2019-08-31T23:37:00,48.2712,-126.7854,300234067116370,2021-03-15T05:27:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902473,SBE41CP,AI2600-19CA002,OPERATIONAL
Canada,2019-05-03T18:26:00,21.9124,-114.42,300234067011750,2021-03-08T05:08:00,ARVOR,"Argo, Argo Core, Argo Global, Tropical Pacific Observing System",Argo CANADA,4902475,SBE41CP,AI2600-19CA004,OPERATIONAL
Canada,2019-04-11T22:20:00,8.9484,-87.8421,300234066517680,2021-03-14T05:27:00,ARVOR,"Argo, Argo Core, Argo Global, Tropical Pacific Observing System",Argo CANADA,4902476,SBE41CP,AI2600-19CA005,OPERATIONAL
