COUNTRY,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,LAST LOCATION DATE,MODEL,NETWORKS,PROGRAM,REF,SERIAL NUMBER,STATUS
Canada,2015-05-14T23:03:00,56.32,-52.9,2021-04-02T13:49:00,NOVA,"Argo, Argo BioGeoChemical, Argo Dissolved Oxygen, Argo Global, Argo T/S/O only, AtlantOS",Argo CANADA,4901779,195,OPERATIONAL
Canada,2015-07-05T02:01:00,46.5,-129,2021-04-04T10:43:00,NOVA,"Argo, Argo BioGeoChemical, Argo Dissolved Oxygen, Argo Global, Argo T/S/O only",Argo CANADA,4901784,200,OPERATIONAL
Canada,2017-10-04T01:25:00,58.605,-53.6317,2021-04-06T04:47:00,NOVA,"Argo, Argo BioGeoChemical, Argo Dissolved Oxygen, Argo Global, Argo T/S/O only, AtlantOS",Argo CANADA,4902409,445,OPERATIONAL
Canada,2017-10-04T08:39:00,57.967,-51.7423,2021-03-17T09:35:00,NOVA,"Argo, Argo BioGeoChemical, Argo Dissolved Oxygen, Argo Global, Argo T/S/O only, AtlantOS",Argo CANADA,4902410,446,OPERATIONAL
Canada,2019-06-12T10:22:00,56.5473,-52.6928,2021-04-04T05:36:00,ARVOR,"Argo, Argo BioGeoChemical, Argo Dissolved Oxygen, Argo Global, Argo T/S/O only, AtlantOS",Argo CANADA,4902481,AI2632-19CA010,OPERATIONAL
Canada,2020-08-17T12:12:00,49.2695,-134.6683,2021-04-06T08:53:00,ARVOR,"Argo, Argo BioGeoChemical, Argo Dissolved Oxygen, Argo Global, Argo T/S/O only",Argo CANADA,4902549,AI2632-20CA034,OPERATIONAL
Canada,2021-02-06T19:04:00,49.2838,-134.6743,2021-03-30T08:57:00,ARVOR,"Argo, Argo BioGeoChemical, Argo Dissolved Oxygen, Argo Global, Argo T/S/O only",Argo CANADA,4902550,AI2632-20CA035,OPERATIONAL
Canada,2020-08-18T21:49:00,49.5533,-138.6665,2021-04-07T09:01:00,ARVOR,"Argo, Argo BioGeoChemical, Argo Dissolved Oxygen, Argo Global, Argo T/S/O only",Argo CANADA,4902551,AI2632-20CA036,OPERATIONAL
Canada,2021-02-04T09:41:00,48.8157,-128.6585,2021-04-07T09:05:00,ARVOR,"Argo, Argo BioGeoChemical, Argo Dissolved Oxygen, Argo Global, Argo T/S/O only",Argo CANADA,4902552,AI2632-20CA037,OPERATIONAL
Canada,2021-02-05T08:14:00,48.9733,-130.6717,2021-03-29T08:50:00,ARVOR,"Argo, Argo BioGeoChemical, Argo Dissolved Oxygen, Argo Global, Argo T/S/O only",Argo CANADA,4902553,AI2632-20CA038,OPERATIONAL
Canada,2021-02-08T01:42:00,49.5722,-138.688,2021-04-01T09:06:00,ARVOR,"Argo, Argo BioGeoChemical, Argo Dissolved Oxygen, Argo Global, Argo T/S/O only",Argo CANADA,4902554,AI2632-20CA039,OPERATIONAL
Canada,2021-02-09T20:06:00,50.0043,-144.9927,2021-04-01T09:56:00,ARVOR,"Argo, Argo BioGeoChemical, Argo Dissolved Oxygen, Argo Global, Argo T/S/O only",Argo CANADA,4902555,AI2632-20CA040,OPERATIONAL
