COUNTRY,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,LAST LOCATION DATE,MODEL,NETWORKS,PROGRAM,REF,SERIAL NUMBER,STATUS
Canada,2015-07-09T20:41:00,49.67,-158.57,2021-03-29T13:50:00,NOVA,"Argo, Argo Core, Argo Global",Argo CANADA,4901797,213,OPERATIONAL
Canada,2016-05-08T11:57:00,56.12,-53.12,2021-04-02T11:53:00,NOVA,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4901817,323,OPERATIONAL
Canada,2016-05-14T07:53:00,57.38,-51.77,2021-04-08T03:49:00,NOVA,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4901809,315,OPERATIONAL
Canada,2016-05-21T14:28:00,41.83,-60.89,2021-04-05T10:47:00,NOVA,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4901816,322,OPERATIONAL
Canada,2016-06-11T23:20:00,49.57,-138.66,2021-04-06T20:55:00,NOVA,"Argo, Argo Core, Argo Global",Argo CANADA,4901826,332,OPERATIONAL
Canada,2016-07-05T02:22:00,51.49,-135.1,2021-03-31T14:59:00,NOVA,"Argo, Argo Core, Argo Global",Argo CANADA,4901820,326,OPERATIONAL
Canada,2016-07-07T16:29:00,53.82,-151.32,2021-04-02T19:50:00,NOVA,"Argo, Argo Core, Argo Global",Argo CANADA,4901825,331,OPERATIONAL
Canada,2017-02-12T18:27:00,50,-145,2021-04-02T14:55:00,NOVA,"Argo, Argo Core, Argo Global",Argo CANADA,4902401,437,OPERATIONAL
Canada,2017-02-15T08:46:00,49.43,-136.7,2021-04-05T04:47:00,NOVA,"Argo, Argo Core, Argo Global",Argo CANADA,4902411,447,OPERATIONAL
Canada,2017-02-16T04:36:00,49.28,-134.66,2021-04-06T16:49:00,NOVA,"Argo, Argo Core, Argo Global",Argo CANADA,4902403,439,OPERATIONAL
Canada,2017-02-18T03:13:00,48.82,-128.67,2021-03-29T15:57:00,NOVA,"Argo, Argo Core, Argo Global",Argo CANADA,4902402,438,OPERATIONAL
Canada,2017-04-26T04:51:00,43.47,-57.52,2021-04-05T05:50:00,NOVA,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902392,428,OPERATIONAL
Canada,2017-04-22T04:43:00,42.48,-61.43,2021-04-01T07:21:00,NOVA,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902394,430,OPERATIONAL
Canada,2017-10-03T20:24:00,58.95,-54.49,2021-04-05T08:41:00,NOVA,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902395,431,OPERATIONAL
Canada,2017-10-03T17:50:00,58.7709,-55.7111,2021-04-05T10:52:00,NOVA,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902397,433,OPERATIONAL
Canada,2017-07-08T01:52:00,53.25,-145.83,2021-03-29T21:40:00,NOVA,"Argo, Argo Core, Argo Global",Argo CANADA,4902408,444,OPERATIONAL
Canada,2017-06-10T01:26:00,49.43,-136.68,2021-03-31T03:51:00,NOVA,"Argo, Argo Core, Argo Global",Argo CANADA,4902417,463,OPERATIONAL
Canada,2018-05-06T22:45:00,58.1978,-50.8502,2021-03-31T07:53:00,NOVA,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902424,477,OPERATIONAL
Canada,2018-05-10T09:22:00,57.9999,-51.0602,2021-04-06T05:18:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902438,AI2600-18CA001,OPERATIONAL
Canada,2018-05-02T19:49:00,54.2183,-49.7826,2021-04-08T05:19:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902439,AI2600-18CA002,OPERATIONAL
Canada,2018-06-10T07:24:00,49.1233,-132.67,2021-04-05T03:52:00,NOVA,"Argo, Argo Core, Argo Global",Argo CANADA,4902434,542,OPERATIONAL
Canada,2019-02-10T14:50:00,49.634,-139.6897,2021-04-02T05:19:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902443,AI2600-18CA006,OPERATIONAL
Canada,2019-02-07T15:34:00,48.777,-128.1843,2021-03-30T05:34:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902444,AI2600-18CA007,OPERATIONAL
Canada,2018-06-14T02:58:00,49.9985,-144.999,2021-04-01T05:25:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902445,AI2600-18CA008,OPERATIONAL
Canada,2019-02-12T18:34:00,50.0022,-144.9965,2021-04-04T05:42:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902446,AI2600-18CA009,OPERATIONAL
Canada,2018-06-11T12:26:00,49.435,-136.6782,2021-04-08T05:33:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902447,AI2600-18CA010,OPERATIONAL
Canada,2018-07-12T06:00:00,54.2761,-152.475,2021-04-07T03:54:00,NOVA,"Argo, Argo Core, Argo Global",Argo CANADA,4902459,595,OPERATIONAL
Canada,2018-07-11T08:47:00,53.8567,-145.007,2021-04-06T05:50:00,NOVA,"Argo, Argo Core, Argo Global",Argo CANADA,4902461,597,OPERATIONAL
Canada,2019-02-12T18:27:00,50.0013,-145.0018,2021-04-02T06:53:00,NOVA,"Argo, Argo Core, Argo Global",Argo CANADA,4902462,598,OPERATIONAL
Canada,2018-09-25T16:46:00,42.2114,-61.1953,2021-04-04T04:49:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902440,AI2600-18CA003,OPERATIONAL
Canada,2018-09-28T05:58:00,43.4798,-57.5328,2021-04-07T05:20:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902441,AI2600-18CA004,OPERATIONAL
Canada,2018-10-04T06:20:00,43.0198,-55.8404,2021-04-03T05:15:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902442,AI2600-18CA005,OPERATIONAL
Canada,2018-10-03T17:05:00,43.7341,-55.8607,2021-03-31T05:43:00,NOVA,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902455,591,OPERATIONAL
Canada,2018-10-03T22:49:00,43.434,-55.842,2021-03-31T06:46:00,NOVA,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902456,592,OPERATIONAL
Canada,2019-04-21T22:48:00,43.4756,-57.5268,2021-04-02T04:15:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902467,AI2600-18CA011,OPERATIONAL
Canada,2019-06-12T03:53:00,56.1077,-53.1204,2021-04-04T04:30:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902468,AI2600-18CA012,OPERATIONAL
Canada,2019-06-13T21:55:00,57.8077,-51.3965,2021-04-05T04:28:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902469,AI2600-18CA013,OPERATIONAL
Canada,2019-04-21T22:41:00,43.4738,-57.5267,2021-04-02T04:31:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902470,AI2600-18CA014,OPERATIONAL
Canada,2019-08-31T23:37:00,48.2712,-126.7854,2021-04-04T05:36:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902473,AI2600-19CA002,OPERATIONAL
Canada,2019-05-03T18:26:00,21.9124,-114.42,2021-04-07T05:12:00,ARVOR,"Argo, Argo Core, Argo Global, Tropical Pacific Observing System",Argo CANADA,4902475,AI2600-19CA004,OPERATIONAL
Canada,2019-04-11T22:20:00,8.9484,-87.8421,2021-04-03T05:22:00,ARVOR,"Argo, Argo Core, Argo Global, Tropical Pacific Observing System",Argo CANADA,4902476,AI2600-19CA005,OPERATIONAL
Canada,2019-08-19T10:06:00,49.2832,-134.6663,2021-04-02T05:27:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902472,AI2600-19CA001,OPERATIONAL
Canada,2019-08-21T04:56:00,49.6365,-139.6615,2021-04-04T05:32:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902474,AI2600-19CA003,OPERATIONAL
Canada,2019-06-19T02:31:00,59.5099,-53.0656,2021-04-01T05:12:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902477,AI2600-19CA006,OPERATIONAL
Canada,2019-06-14T17:11:00,58.6214,-50.4223,2021-04-06T05:28:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902478,AI2600-19CA007,OPERATIONAL
Canada,2019-06-19T08:20:00,59.0057,-53.156,2021-04-01T05:14:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902479,AI2600-19CA008,OPERATIONAL
Canada,2019-06-12T17:15:00,56.9795,-52.2464,2021-04-04T04:28:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902487,AI2600-19CA016,OPERATIONAL
Canada,2019-06-19T00:00:00,58.0101,-53.3472,2021-04-01T04:22:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902488,AI2600-19CA017,OPERATIONAL
Canada,2019-06-18T19:29:00,60.0046,-52.3494,2021-03-31T04:24:00,ARVOR,"Argo, Argo Core, Argo Global, AtlantOS",Argo CANADA,4902471,AI2600-18CA015,OPERATIONAL
Canada,2019-08-20T22:16:00,49.5669,-138.674,2021-04-03T04:50:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902482,AI2600-19CA011,OPERATIONAL
Canada,2019-08-17T23:38:00,48.9697,-130.7625,2021-03-31T05:08:00,ARVOR,"Argo, Argo Core, Argo Global",Argo CANADA,4902483,AI2600-19CA012,OPERATIONAL
